name,repo_name,login,contributions
orientechnologies/orientdb,orientechnologies/orientdb,tglman,33
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,Alpvax,33
h2oai/h2o-3,h2oai/h2o-3,mmalohlava,33
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,TobiGr,33
Freeyourgadget/Gadgetbridge,Freeyourgadget/Gadgetbridge,ashimokawa,33
codingapi/tx-lcn,codingapi/tx-lcn,1991wangliang,33
jenkinsci/jenkins,jenkinsci/jenkins,svanoort,33
apache/beam,apache/beam,lostluck,33
elastic/elasticsearch,elastic/elasticsearch,jdconrad,33
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,wb9688,33
apache/kafka,apache/kafka,tedyu,33
runelite/runelite,runelite/runelite,Abextm,33
neo4j/neo4j,neo4j/neo4j,craigtaverner,33
JanusGraph/janusgraph,JanusGraph/janusgraph,davidclement90,33
bazelbuild/bazel,bazelbuild/bazel,mhlopko,33
apache/flink,apache/flink,zhijiangW,32
apache/kylin,apache/kylin,asfgit,32
hyb1996/Auto.js,hyb1996/Auto.js,hyb1996,32
testcontainers/testcontainers-java,testcontainers/testcontainers-java,rnorth,32
YoKeyword/Fragmentation,YoKeyword/Fragmentation,LonelyMushroom,32
elastic/elasticsearch,elastic/elasticsearch,olcbean,32
guardianproject/haven,guardianproject/haven,leonardoporpora,32
bigbluebutton/bigbluebutton,bigbluebutton/bigbluebutton,OZhurbenko,32
azkaban/azkaban,azkaban/azkaban,chengren311,32
orientechnologies/orientdb,orientechnologies/orientdb,laa,32
JessYanCoding/MVPArms,JessYanCoding/MVPArms,Sum41forever,31
netty/netty,netty/netty,trustin,31
twosigma/beakerx,twosigma/beakerx,mjurowicz-xsolve,31
redisson/redisson,redisson/redisson,jackygurui,31
naver/pinpoint,naver/pinpoint,codecov-io,31
springfox/springfox,springfox/springfox,codacy-bot,31
prestodb/presto,prestodb/presto,mbasmanova,31
SeleniumHQ/selenium,SeleniumHQ/selenium,p0deje,31
vavr-io/vavr,vavr-io/vavr,danieldietrich,31
eclipse/che,eclipse/che,mshaposhnik,31
JakeWharton/butterknife,JakeWharton/butterknife,JakeWharton,31
davideas/FlexibleAdapter,davideas/FlexibleAdapter,davideas,31
bigbluebutton/bigbluebutton,bigbluebutton/bigbluebutton,GhaziTriki,31
apereo/cas,apereo/cas,CLAassistant,31
vespa-engine/vespa,vespa-engine/vespa,lesters,30
pmd/pmd,pmd/pmd,adangel,30
naver/pinpoint,naver/pinpoint,jaehong-kim,30
weibocom/motan,weibocom/motan,rayzhang0603,30
Alluxio/alluxio,Alluxio/alluxio,pavelsimo,30
alibaba/druid,alibaba/druid,wenshao,30
TechEmpower/FrameworkBenchmarks,TechEmpower/FrameworkBenchmarks,michaelhixson,30
oracle/graal,oracle/graal,dougxc,30
apache/cassandra,apache/cassandra,aweisberg,29
prestodb/presto,prestodb/presto,Tartarus0zm,29
auth0/java-jwt,auth0/java-jwt,lbalmaceda,29
react-native-community/react-native-camera,react-native-community/react-native-camera,nicemanis,29
naver/pinpoint,naver/pinpoint,koo-taejin,29
react-native-community/react-native-camera,react-native-community/react-native-camera,jgcmarins,29
eugenp/tutorials,eugenp/tutorials,maibin,29
apache/kafka,apache/kafka,h314to,29
Activiti/Activiti,Activiti/Activiti,ryandawsonuk,29
spring-projects/spring-boot,spring-projects/spring-boot,izeye,29
jMonkeyEngine/jmonkeyengine,jMonkeyEngine/jmonkeyengine,stephengold,29
square/javapoet,square/javapoet,swankjesse,29
apache/kafka,apache/kafka,becketqin,29
eclipse/che,eclipse/che,tsmaeder,29
SeleniumHQ/selenium,SeleniumHQ/selenium,jleyba,29
twosigma/beakerx,twosigma/beakerx,jmsdnns,29
prestodb/presto,prestodb/presto,AlekseiS,29
grpc/grpc-java,grpc/grpc-java,zhangkun83,29
